published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
6/2/2021,443,448,439,446,0.9,159780,70966180,1
6/3/2021,450,470,445,468,4.93,557072,256259378,1
6/6/2021,475,497,473,490,4.7,506918,246251048,1
6/7/2021,498,498,475,479,-2.24,374620,180230888,-1
6/8/2021,480,491,476,486,1.46,316013,153127655,1
6/9/2021,485,493,477,479,-1.44,192759,93041178,-1
6/10/2021,477,485,470,474,-1.04,247600,117845798,-1
6/13/2021,480,481,474,479,1.05,220814,105167019,1
6/14/2021,480,503,480,498,3.97,358350,177584459,1
6/15/2021,500,512,495,498,0,388751,195619119,0
6/16/2021,498,508,487,492,-1.2,257288,127869608,-1
6/17/2021,500,501,485,490,-0.41,146256,71807209,-1
6/20/2021,490,496,475,480,-2.04,252182,121294412,-1
6/21/2021,480,488,465,467,-2.71,300190,141188357,-1
6/22/2021,470,486,460,485,3.85,210521,100169566,1
6/23/2021,493,493,470,472,-2.68,146612,69961591,-1
6/24/2021,468,473,465,469,-0.64,167151,78274993,-1
6/27/2021,492,492,463,479,2.13,180637,86064808,1
6/28/2021,487,489,479,480,0.21,122358,59242484,1
6/29/2021,487,488,471,474,-1.25,95997,45607071,-1
6/30/2021,476,476,465,470,-0.84,108922,51058304,-1
7/1/2021,475,479,470,472,0.43,103634,48984781,1
7/4/2021,472,478,469,470,-0.42,85171,40107522,-1
NA,470,475,466,468,-0.43,97959,46003318,-1
7/6/2021,470,474,467,472,0.85,68185,32170869,1
7/7/2021,475,475,469,470,-0.42,83092,39127911,-1
7/8/2021,470,478,467,477,1.49,128759,61024562,1
7/11/2021,479,490,478,489,2.52,156924,76275172,1
7/12/2021,491,496,479,482,-1.43,166616,81112216,-1
7/13/2021,484,489,480,488,1.24,72289,35101220,1
7/14/2021,492,492,480,483,-1.02,110281,53304859,-1
7/15/2021,484,489,477,485,0.41,138840,67007718,1
7/18/2021,493,520,493,515,6.19,443763,225828250,1
7/19/2021,525,532.5,514,519,0.78,402446,210511195.2,1
7/20/2021,520,530,513,527.1,1.56,223956,116983628.1,1
7/22/2021,529,550.8,526.1,544,3.21,367137,198261411.3,1
7/25/2021,554,563,545.2,562.9,3.47,394193,218478328.5,1
7/26/2021,564.9,564.9,540.3,544,-3.36,421642,230888198.5,-1
7/27/2021,533.2,547,525,544,0,333567,178794930.5,0
7/28/2021,550,554.8,535.2,539,-0.92,128103,68973471.6,-1
7/29/2021,539,542.1,534,536,-0.56,99302,53455581,-1
8/1/2021,540,541,532,534.6,-0.26,110657,59404766.2,-1
8/2/2021,537,540,532,536,0.26,86379,46212567.4,1
8/3/2021,545,545,532,538,0.37,63210,33830755.9,1
8/4/2021,538,542,534,540.1,0.39,103379,55702375.6,1
8/5/2021,541,547,536.6,545.4,0.98,106591,57967637,1
8/8/2021,550,552,539,544,-0.26,70379,38236959,-1
8/9/2021,549,549,535.1,540,-0.74,92182,49641979.1,-1
8/10/2021,535,555,535,549,1.67,136076,74389889.7,1
8/11/2021,550.1,557,545,546.8,-0.4,105063,57711903.6,-1
8/12/2021,537,553.8,537,547.6,0.15,123043,67400984.8,1
8/15/2021,547.6,555,537.5,542,-1.02,228190,124389799.4,-1
8/16/2021,551.9,552,537.2,540,-0.37,120528,65283445,-1
8/17/2021,540,540,530,534.9,-0.94,157313,84021705.5,-1
8/18/2021,540,546,525,538,0.58,174754,93688562.4,1
8/19/2021,540,545,534.1,535.5,-0.46,99845,53694931.1,-1
8/24/2021,538.5,546,525,530,-1.03,174989,93286615.8,-1
8/25/2021,530,530,521,524.9,-0.96,91720,48175721.5,-1
8/26/2021,522,527,518,522,-0.55,112130,58581073.8,-1
8/29/2021,525,533,514,518,-0.77,203354,105540540.1,-1
8/31/2021,518,518,503.1,507,-2.12,187793,95470586.6,-1
9/1/2021,516,516,498,506,-0.2,202887,102594964.7,-1
9/2/2021,516.1,516.1,494.1,498,-1.58,146789,73442185.6,-1
9/5/2021,498,505,480,490,-1.61,234517,114579636.9,-1
9/6/2021,490,517,481,511,4.29,163012,81700028.2,1
